Qwen kernel mode: off
loading /home/alex/models/qwen3-1.7b-hf
Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]Loading weights: 100%|██████████| 311/311 [00:00<00:00, 14290.41it/s]
HFLensModel(Qwen3ForCausalLM, n_layers=28, d_model=2048)
[     2s +  2.10s] fit: n_layers=28 d_model=2048, fitting 27 source layers (target=L27) on 204 prompts
/home/alex/Code/jlens/jacobian-lens/.venv/lib/python3.11/site-packages/torch/autograd/graph.py:882: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:370.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
[     7s +  5.17s]   prompt 1/204  seq_len=26 n_valid=9  5s  max||J||/sqrt(d)=28.467  max_d_mean=nan
[    12s +  5.08s]   prompt 2/204  seq_len=26 n_valid=9  5s  max||J||/sqrt(d)=25.543  max_d_mean=6.91e-01
[    18s +  5.83s]   prompt 3/204  seq_len=34 n_valid=17  6s  max||J||/sqrt(d)=27.046  max_d_mean=4.96e-01
[    23s +  5.11s]   prompt 4/204  seq_len=26 n_valid=9  5s  max||J||/sqrt(d)=42.756  max_d_mean=5.58e-01
[    28s +  5.06s]   prompt 5/204  seq_len=27 n_valid=10  5s  max||J||/sqrt(d)=37.788  max_d_mean=3.30e-01
[    33s +  5.13s]   prompt 6/204  seq_len=28 n_valid=11  5s  max||J||/sqrt(d)=21.248  max_d_mean=1.54e-01
[    38s +  5.06s]   prompt 7/204  seq_len=27 n_valid=10  5s  max||J||/sqrt(d)=22.363  max_d_mean=2.20e-01
[    43s +  4.96s]   prompt 8/204  seq_len=24 n_valid=7  5s  max||J||/sqrt(d)=17.207  max_d_mean=1.81e-01
[    48s +  5.16s]   prompt 9/204  seq_len=28 n_valid=11  5s  max||J||/sqrt(d)=38.837  max_d_mean=2.63e-01
[    53s +  5.08s]   prompt 10/204  seq_len=27 n_valid=10  5s  max||J||/sqrt(d)=20.163  max_d_mean=1.57e-01
[    58s +  5.18s]   prompt 11/204  seq_len=29 n_valid=12  5s  max||J||/sqrt(d)=44.184  max_d_mean=2.62e-01
[  1m02s +  4.02s]   prompt 12/204  seq_len=21 n_valid=4  4s  max||J||/sqrt(d)=22.896  max_d_mean=1.51e-01
[  1m08s +  5.44s]   prompt 13/204  seq_len=31 n_valid=14  5s  max||J||/sqrt(d)=69.037  max_d_mean=3.73e-01
[  1m14s +  6.06s]   prompt 14/204  seq_len=36 n_valid=19  6s  max||J||/sqrt(d)=17.456  max_d_mean=1.11e-01
[  1m19s +  5.18s]   prompt 15/204  seq_len=28 n_valid=11  5s  max||J||/sqrt(d)=38.171  max_d_mean=1.71e-01
[  1m24s +  5.14s]   prompt 16/204  seq_len=26 n_valid=9  5s  max||J||/sqrt(d)=37.081  max_d_mean=1.38e-01
[  1m29s +  5.08s]   prompt 17/204  seq_len=25 n_valid=8  5s  max||J||/sqrt(d)=17.737  max_d_mean=9.02e-02
[  1m34s +  5.10s]   prompt 18/204  seq_len=25 n_valid=8  5s  max||J||/sqrt(d)=17.922  max_d_mean=8.90e-02
